id,symbol,name,isin
3734,526433,ASM Technologies Ltd,INE867C01010
12952,ASPINWALL,Aspinwall & Company Ltd,INE991I01015
23958,540788,Aspira Pathlab & Diagnostics Ltd,INE500C01017
35,ASSAMCO,Assam Company India Ltd,INE442A01024
74673,542911,Assam Entrade Ltd,INE165G01010
4588,ASALCBR,Associated Alcohols & Breweries Ltd,INE073G01016
5984,531168,Associated Ceramics Ltd,INE771E01010
27594,ASTEC,Astec Lifesciences Ltd,INE563J01010
68392,ASTERDM,Aster DM Healthcare Ltd,INE914M01019
4472,ASTRAMICRO,Astra Microwave Products Ltd,INE386C01029
27655,ASTRAL,Astral Poly Technik Ltd,INE006I01046
39,ASTRAZEN,Astrazeneca Pharma India Ltd,INE203A01020
71063,ASTRON,Astron Paper & Board Mill Ltd,INE646X01014
2055,512433,Asutosh Enterprises Ltd,INE508W01018
13440,511144,Asya Infosoft Ltd,INE520G01016
4495,511648,Atash Securities Ltd,
3129,ATCOM,Atcom Technologies Ltd,INE834A01014
4897,530187,Atharv Enterprises Ltd,INE354E01031
65828,539099,Athena Constructions Ltd,INE291R01011
3736,517429,Athena Global Technologies Ltd,INE576B01019
45928,538713,Atishay Ltd,INE011R01013
4972,526843,Atlanta Devcon Ltd,INE590F01029
5052,530479,Atlanta Infrastructure & Finance Ltd,INE433D01027
20422,ATLANTA,Atlanta Ltd,INE285H01022
4288,ATLANTSPG,Atlantic Spinning & Weaving Mills Ltd,INE504C01019
42,ATLASCYCLE,Atlas Cycles (Haryana) Ltd,INE446A01025
3942,514394,Atlas Jewellery India Ltd,INE022N01019
1985,513313,Atma Steels Ltd,
3528,ATNINTER,ATN International Ltd,INE803A01027
14817,ATULAUTO,Atul Auto Ltd,INE951D01028
43,ATUL,Atul Ltd,INE100A01010
1044,ATVPROJ,ATV Projects India Ltd,INE447A01015
34695,AUBANK,AU Small Finance Bank Ltd,INE949L01017
68803,AURDIS,Aurangabad Distillery Ltd,INE448V01019
8040,AURIONPRO,Aurionpro Solutions Ltd,INE132H01018
4899,530233,Auro Laboratories Ltd,INE292C01011
4666,AUROPHARMA,Aurobindo Pharma Ltd,INE406A01037
12891,531336,Auroma Coke Ltd,INE662I01012
2386,AUSOMENT,Ausom Enterprise Ltd,INE218C01016
823,522005,Austin Engineering Company Ltd,INE759F01012
